actual_arrival_datetime,actual_departure_datetime,actual_fuel_consumption_gm_per_mile,actual_windspeed_kts,arrival_delay_seconds,service_id,station,station_call_id
2050-07-01 05:06,2050-07-01 06:00,56.12,0,2,JP_0,Iwade,JP_0_205007010506
2050-07-01 06:19,2050-07-01 07:00,168.31,0,5,JP_0,Komono,JP_0_205007010619
2050-07-01 07:09,2050-07-01 08:00,77.31,0,2,JP_0,Toba,JP_0_205007010709
2050-07-01 08:21,2050-07-01 09:00,164.24,0,6,JP_0,Gero,JP_0_205007010821
2050-07-01 09:09,2050-07-01 10:00,69.68,0,3,JP_0,Ina,JP_0_205007010909
2050-07-01 10:13,2050-07-01 11:00,113.74,0,4,JP_0,Suzaka,JP_0_205007011013
2050-07-01 11:08,2050-07-01 12:00,71.6,0,3,JP_0,Annaka,JP_0_205007011108
2050-07-01 13:52,2050-07-01 15:00,836.89,0,39,JP_0,Hita,JP_0_205007011352
2050-07-01 16:04,2050-07-01 17:00,506.28,0,24,JP_0,Yao,JP_0_205007011603
2050-07-01 17:06,2050-07-01 18:00,58.36,0,2,JP_0,Iwade,JP_0_205007011706
2050-07-01 18:19,2050-07-01 19:00,165.11,0,6,JP_0,Komono,JP_0_205007011819
2050-07-01 19:09,2050-07-01 20:00,80.31,0,2,JP_0,Toba,JP_0_205007011909
2050-07-01 20:21,2050-07-01 21:00,174.73,0,6,JP_0,Gero,JP_0_205007012021
2050-07-01 21:09,2050-07-01 22:00,82.56,0,4,JP_0,Ina,JP_0_205007012109
2050-07-01 22:13,2050-07-01 23:00,112.61,0,5,JP_0,Suzaka,JP_0_205007012213
2050-07-02 01:52,2050-07-02 03:00,939.17,0,30,JP_0,Hita,JP_0_205007020152
2050-07-02 04:03,2050-07-02 05:00,532.65,0,17,JP_0,Yao,JP_0_205007020403
2050-07-02 05:06,2050-07-02 06:00,51.63,0,2,JP_0,Iwade,JP_0_205007020506
2050-07-02 06:19,2050-07-02 07:00,158.69,0,5,JP_0,Komono,JP_0_205007020619
2050-07-02 07:09,2050-07-02 08:00,74.31,0,2,JP_0,Toba,JP_0_205007020709
2050-07-02 08:21,2050-07-02 09:00,190.45,0,6,JP_0,Gero,JP_0_205007020821
2050-07-02 09:09,2050-07-02 10:00,69.68,0,2,JP_0,Ina,JP_0_205007020909
2050-07-02 10:13,2050-07-02 11:00,101.35,0,4,JP_0,Suzaka,JP_0_205007021013
2050-07-02 11:08,2050-07-02 12:00,68.67,0,2,JP_0,Annaka,JP_0_205007021108
2050-07-02 13:52,2050-07-02 15:00,883.38,0,30,JP_0,Hita,JP_0_205007021352
2050-07-02 16:03,2050-07-02 17:00,527.37,0,17,JP_0,Yao,JP_0_205007021603
2050-07-02 17:06,2050-07-02 18:00,55.56,0,2,JP_0,Iwade,JP_0_205007021706
2050-07-02 19:09,2050-07-02 20:00,80.31,0,2,JP_0,Toba,JP_0_205007021909
2050-07-02 20:21,2050-07-02 21:00,186.96,0,6,JP_0,Gero,JP_0_205007022021
2050-07-02 21:09,2050-07-02 22:00,69.68,0,2,JP_0,Ina,JP_0_205007022109
2050-07-02 22:13,2050-07-02 23:00,120.49,0,4,JP_0,Suzaka,JP_0_205007022213
2050-07-02 23:08,2050-07-03 00:00,73.06,0,2,JP_0,Annaka,JP_0_205007022308
2050-07-03 01:52,2050-07-03 03:00,957.77,0,30,JP_0,Hita,JP_0_205007030152
2050-07-03 04:03,2050-07-03 05:00,569.56,0,17,JP_0,Yao,JP_0_205007030403
2050-07-03 05:06,2050-07-03 06:00,60.61,0,2,JP_0,Iwade,JP_0_205007030506
2050-07-03 06:19,2050-07-03 07:00,152.28,0,5,JP_0,Komono,JP_0_205007030619
2050-07-03 07:09,2050-07-03 08:00,72.8,0,3,JP_0,Toba,JP_0_205007030709
2050-07-03 08:21,2050-07-03 09:00,179.97,0,8,JP_0,Gero,JP_0_205007030821
2050-07-03 09:09,2050-07-03 10:00,74.22,0,4,JP_0,Ina,JP_0_205007030909
2050-07-03 10:13,2050-07-03 11:00,113.74,3,6,JP_0,Suzaka,JP_0_205007031013
2050-07-03 11:08,2050-07-03 12:00,72.33,3,4,JP_0,Annaka,JP_0_205007031108
2050-07-03 13:53,2050-07-03 15:00,967.07,3,59,JP_0,Hita,JP_0_205007031352
2050-07-03 16:04,2050-07-03 17:00,559.02,3,35,JP_0,Yao,JP_0_205007031603
2050-07-03 17:06,2050-07-03 18:00,60.61,3,3,JP_0,Iwade,JP_0_205007031706
2050-07-03 18:19,2050-07-03 19:00,161.9,0,7,JP_0,Komono,JP_0_205007031819
2050-07-03 19:09,2050-07-03 20:00,68.3,0,3,JP_0,Toba,JP_0_205007031909
2050-07-03 20:21,2050-07-03 21:00,171.23,0,6,JP_0,Gero,JP_0_205007032021
2050-07-03 21:09,2050-07-03 22:00,82.56,0,3,JP_0,Ina,JP_0_205007032109
2050-07-03 22:13,2050-07-03 23:00,109.23,0,4,JP_0,Suzaka,JP_0_205007032213
2050-07-03 23:08,2050-07-04 00:00,73.06,0,2,JP_0,Annaka,JP_0_205007032308
2050-07-04 01:52,2050-07-04 03:00,864.78,0,30,JP_0,Hita,JP_0_205007040152
2050-07-04 04:03,2050-07-04 05:00,522.1,0,17,JP_0,Yao,JP_0_205007040403
2050-07-04 05:06,2050-07-04 06:00,53.87,0,2,JP_0,Iwade,JP_0_205007040506
2050-07-04 06:19,2050-07-04 07:00,174.72,0,5,JP_0,Komono,JP_0_205007040619
2050-07-04 07:09,2050-07-04 08:00,80.31,0,2,JP_0,Toba,JP_0_205007040709
2050-07-04 08:21,2050-07-04 09:00,181.72,0,6,JP_0,Gero,JP_0_205007040821
2050-07-04 09:09,2050-07-04 10:00,72.71,0,2,JP_0,Ina,JP_0_205007040909
2050-07-04 10:13,2050-07-04 11:00,101.35,0,4,JP_0,Suzaka,JP_0_205007041013
2050-07-04 11:08,2050-07-04 12:00,68.67,0,2,JP_0,Annaka,JP_0_205007041108
2050-07-04 13:52,2050-07-04 15:00,985.67,0,30,JP_0,Hita,JP_0_205007041352
2050-07-04 16:03,2050-07-04 17:00,548.47,0,17,JP_0,Yao,JP_0_205007041603
2050-07-04 17:06,2050-07-04 18:00,60.61,0,2,JP_0,Iwade,JP_0_205007041706
2050-07-04 18:19,2050-07-04 19:00,171.52,0,5,JP_0,Komono,JP_0_205007041819
2050-07-04 19:09,2050-07-04 20:00,79.56,0,2,JP_0,Toba,JP_0_205007041909
2050-07-04 20:21,2050-07-04 21:00,179.97,0,6,JP_0,Gero,JP_0_205007042021
2050-07-04 21:09,2050-07-04 22:00,78.77,0,2,JP_0,Ina,JP_0_205007042109
2050-07-04 22:13,2050-07-04 23:00,114.86,0,4,JP_0,Suzaka,JP_0_205007042213
2050-07-04 23:08,2050-07-05 00:00,78.9,0,2,JP_0,Annaka,JP_0_205007042308
2050-07-05 01:52,2050-07-05 03:00,901.98,0,30,JP_0,Hita,JP_0_205007050152
2050-07-05 04:03,2050-07-05 05:00,495.73,0,17,JP_0,Yao,JP_0_205007050403
2050-07-05 05:06,2050-07-05 06:00,53.31,0,2,JP_0,Iwade,JP_0_205007050506
2050-07-05 06:19,2050-07-05 07:00,157.09,0,5,JP_0,Komono,JP_0_205007050619
2050-07-05 07:09,2050-07-05 08:00,78.06,0,2,JP_0,Toba,JP_0_205007050709
2050-07-05 08:21,2050-07-05 09:00,185.21,0,6,JP_0,Gero,JP_0_205007050821
2050-07-05 09:09,2050-07-05 10:00,78.77,0,2,JP_0,Ina,JP_0_205007050909
2050-07-05 10:13,2050-07-05 11:00,103.6,0,4,JP_0,Suzaka,JP_0_205007051013
2050-07-05 11:08,2050-07-05 12:00,77.44,0,2,JP_0,Annaka,JP_0_205007051108
2050-07-05 13:52,2050-07-05 15:00,985.67,0,30,JP_0,Hita,JP_0_205007051352
2050-07-05 16:03,2050-07-05 17:00,501.01,0,17,JP_0,Yao,JP_0_205007051603
2050-07-05 17:06,2050-07-05 18:00,55.0,0,2,JP_0,Iwade,JP_0_205007051706
2050-07-05 18:19,2050-07-05 19:00,152.28,0,5,JP_0,Komono,JP_0_205007051819
2050-07-05 19:09,2050-07-05 20:00,72.8,0,2,JP_0,Toba,JP_0_205007051909
2050-07-05 20:21,2050-07-05 21:00,157.25,0,6,JP_0,Gero,JP_0_205007052021
2050-07-05 21:09,2050-07-05 22:00,73.47,0,2,JP_0,Ina,JP_0_205007052109
2050-07-05 22:13,2050-07-05 23:00,121.62,0,4,JP_0,Suzaka,JP_0_205007052213
2050-07-05 23:08,2050-07-06 00:00,71.6,0,2,JP_0,Annaka,JP_0_205007052308
2050-07-06 01:52,2050-07-06 03:00,967.07,0,30,JP_0,Hita,JP_0_205007060152
2050-07-06 04:03,2050-07-06 05:00,506.28,0,17,JP_0,Yao,JP_0_205007060403
2050-07-06 05:06,2050-07-06 06:00,56.12,0,2,JP_0,Iwade,JP_0_205007060506
2050-07-06 06:19,2050-07-06 07:00,174.72,0,5,JP_0,Komono,JP_0_205007060619
2050-07-06 07:09,2050-07-06 08:00,79.56,0,2,JP_0,Toba,JP_0_205007060709
2050-07-06 08:21,2050-07-06 09:00,171.23,0,6,JP_0,Gero,JP_0_205007060821
2050-07-06 09:09,2050-07-06 10:00,73.47,0,2,JP_0,Ina,JP_0_205007060909
2050-07-06 10:13,2050-07-06 11:00,109.23,0,4,JP_0,Suzaka,JP_0_205007061013
2050-07-06 11:08,2050-07-06 12:00,71.6,0,2,JP_0,Annaka,JP_0_205007061108
2050-07-06 13:52,2050-07-06 15:00,855.49,0,30,JP_0,Hita,JP_0_205007061352
2050-07-06 16:03,2050-07-06 17:00,537.92,0,17,JP_0,Yao,JP_0_205007061603
2050-07-06 17:06,2050-07-06 18:00,52.75,0,2,JP_0,Iwade,JP_0_205007061706
2050-07-06 18:19,2050-07-06 19:00,145.87,0,5,JP_0,Komono,JP_0_205007061819
2050-07-06 19:09,2050-07-06 20:00,74.31,0,2,JP_0,Toba,JP_0_205007061909
2050-07-06 20:21,2050-07-06 21:00,159.0,0,6,JP_0,Gero,JP_0_205007062021
2050-07-06 21:09,2050-07-06 22:00,79.53,0,2,JP_0,Ina,JP_0_205007062109
2050-07-06 22:13,2050-07-06 23:00,108.11,0,4,JP_0,Suzaka,JP_0_205007062213
2050-07-06 23:08,2050-07-07 00:00,71.6,0,2,JP_0,Annaka,JP_0_205007062308
2050-07-07 01:52,2050-07-07 03:00,1004.27,0,30,JP_0,Hita,JP_0_205007070152
2050-07-07 04:03,2050-07-07 05:00,559.02,0,17,JP_0,Yao,JP_0_205007070403
2050-07-07 05:06,2050-07-07 06:00,60.05,0,2,JP_0,Iwade,JP_0_205007070506
2050-07-07 06:19,2050-07-07 07:00,174.72,0,5,JP_0,Komono,JP_0_205007070619
2050-07-07 07:09,2050-07-07 08:00,69.8,0,2,JP_0,Toba,JP_0_205007070709
2050-07-07 08:21,2050-07-07 09:00,159.0,0,6,JP_0,Gero,JP_0_205007070821
2050-07-07 09:09,2050-07-07 10:00,80.28,0,2,JP_0,Ina,JP_0_205007070909
2050-07-07 10:13,2050-07-07 11:00,102.48,0,4,JP_0,Suzaka,JP_0_205007071013
2050-07-07 11:08,2050-07-07 12:00,75.98,0,2,JP_0,Annaka,JP_0_205007071108
2050-07-07 13:52,2050-07-07 15:00,929.88,0,30,JP_0,Hita,JP_0_205007071352
2050-07-07 16:03,2050-07-07 17:00,516.83,0,17,JP_0,Yao,JP_0_205007071603
2050-07-07 17:06,2050-07-07 18:00,52.19,0,2,JP_0,Iwade,JP_0_205007071706
2050-07-07 18:19,2050-07-07 19:00,171.52,0,5,JP_0,Komono,JP_0_205007071819
2050-07-07 19:09,2050-07-07 20:00,81.06,0,2,JP_0,Toba,JP_0_205007071909
2050-07-07 20:21,2050-07-07 21:00,186.96,0,6,JP_0,Gero,JP_0_205007072021
2050-07-07 21:09,2050-07-07 22:00,68.17,0,2,JP_0,Ina,JP_0_205007072109
2050-07-07 22:13,2050-07-07 23:00,112.61,0,4,JP_0,Suzaka,JP_0_205007072213
2050-07-07 23:08,2050-07-08 00:00,72.33,0,2,JP_0,Annaka,JP_0_205007072308
2050-07-08 01:52,2050-07-08 03:00,911.28,0,30,JP_0,Hita,JP_0_205007080152
2050-07-08 04:03,2050-07-08 05:00,490.46,0,17,JP_0,Yao,JP_0_205007080403
2050-07-08 05:06,2050-07-08 06:00,60.61,0,2,JP_0,Iwade,JP_0_205007080506
2050-07-08 06:19,2050-07-08 07:00,161.9,0,5,JP_0,Komono,JP_0_205007080619
2050-07-08 07:09,2050-07-08 08:00,81.06,0,2,JP_0,Toba,JP_0_205007080709
2050-07-08 08:21,2050-07-08 09:00,171.23,0,6,JP_0,Gero,JP_0_205007080821
2050-07-08 09:09,2050-07-08 10:00,76.5,0,2,JP_0,Ina,JP_0_205007080909
2050-07-08 10:13,2050-07-08 11:00,119.37,0,4,JP_0,Suzaka,JP_0_205007081013
2050-07-08 11:08,2050-07-08 12:00,68.67,0,2,JP_0,Annaka,JP_0_205007081108
2050-07-08 13:52,2050-07-08 15:00,846.19,0,36,JP_0,Hita,JP_0_205007081352
2050-07-08 16:03,2050-07-08 17:00,506.28,0,19,JP_0,Yao,JP_0_205007081603
2050-07-08 17:06,2050-07-08 18:00,51.63,3,3,JP_0,Iwade,JP_0_205007081706
2050-07-08 18:19,2050-07-08 19:00,144.27,0,7,JP_0,Komono,JP_0_205007081819
2050-07-08 19:09,2050-07-08 20:00,74.31,0,4,JP_0,Toba,JP_0_205007081909
2050-07-08 20:21,2050-07-08 21:00,169.48,0,8,JP_0,Gero,JP_0_205007082021
2050-07-08 21:09,2050-07-08 22:00,72.71,0,3,JP_0,Ina,JP_0_205007082109
2050-07-08 22:13,2050-07-08 23:00,110.36,0,5,JP_0,Suzaka,JP_0_205007082213
2050-07-08 23:08,2050-07-09 00:00,77.44,3,4,JP_0,Annaka,JP_0_205007082308
2050-07-09 01:53,2050-07-09 03:00,1004.27,3,62,JP_0,Hita,JP_0_205007090152
2050-07-09 04:04,2050-07-09 05:00,474.64,3,34,JP_0,Yao,JP_0_205007090403
