forecast_windspeed_kts,scheduled_arrival_datetime,scheduled_departure_datetime,service_id,station,station_call_id
4,2050-07-01 05:06,2050-07-01 06:00,JP_0,Iwade,JP_0_205007010506
7,2050-07-01 06:19,2050-07-01 07:00,JP_0,Komono,JP_0_205007010619
6,2050-07-01 07:09,2050-07-01 08:00,JP_0,Toba,JP_0_205007010709
8,2050-07-01 08:21,2050-07-01 09:00,JP_0,Gero,JP_0_205007010821
13,2050-07-01 09:09,2050-07-01 10:00,JP_0,Ina,JP_0_205007010909
13,2050-07-01 10:13,2050-07-01 11:00,JP_0,Suzaka,JP_0_205007011013
13,2050-07-01 11:08,2050-07-01 12:00,JP_0,Annaka,JP_0_205007011108
13,2050-07-01 13:52,2050-07-01 15:00,JP_0,Hita,JP_0_205007011352
15,2050-07-01 16:03,2050-07-01 17:00,JP_0,Yao,JP_0_205007011603
14,2050-07-01 17:06,2050-07-01 18:00,JP_0,Iwade,JP_0_205007011706
12,2050-07-01 18:19,2050-07-01 19:00,JP_0,Komono,JP_0_205007011819
11,2050-07-01 19:09,2050-07-01 20:00,JP_0,Toba,JP_0_205007011909
8,2050-07-01 20:21,2050-07-01 21:00,JP_0,Gero,JP_0_205007012021
16,2050-07-01 21:09,2050-07-01 22:00,JP_0,Ina,JP_0_205007012109
14,2050-07-01 22:13,2050-07-01 23:00,JP_0,Suzaka,JP_0_205007012213
10,2050-07-01 23:08,2050-07-02 00:00,JP_0,Annaka,JP_0_205007012308
10,2050-07-02 01:52,2050-07-02 03:00,JP_0,Hita,JP_0_205007020152
9,2050-07-02 04:03,2050-07-02 05:00,JP_0,Yao,JP_0_205007020403
6,2050-07-02 05:06,2050-07-02 06:00,JP_0,Iwade,JP_0_205007020506
3,2050-07-02 06:19,2050-07-02 07:00,JP_0,Komono,JP_0_205007020619
4,2050-07-02 07:09,2050-07-02 08:00,JP_0,Toba,JP_0_205007020709
5,2050-07-02 08:21,2050-07-02 09:00,JP_0,Gero,JP_0_205007020821
0,2050-07-02 09:09,2050-07-02 10:00,JP_0,Ina,JP_0_205007020909
0,2050-07-02 10:13,2050-07-02 11:00,JP_0,Suzaka,JP_0_205007021013
0,2050-07-02 11:08,2050-07-02 12:00,JP_0,Annaka,JP_0_205007021108
1,2050-07-02 13:52,2050-07-02 15:00,JP_0,Hita,JP_0_205007021352
2,2050-07-02 16:03,2050-07-02 17:00,JP_0,Yao,JP_0_205007021603
